source_row_index,original_scene_id,scene_id,stac_item_id,timestamp,lat,lon,category_name,original_matched_category,polarization,center_x,center_y,patch_name,patch_file,patch_cal_file,patch_uint8_file,patch_rgb_file,patch_status
22,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_rtc,2026-02-01 21:43:48 UTC,-3.521031976501366,118.83538922238463,Cargo,cargo,vv,10100,6081,Cargo_x10100_y6081,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10100_y6081.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10100_y6081.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10100_y6081.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10100_y6081.png,success
22,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_rtc,2026-02-01 21:43:48 UTC,-3.521031976501366,118.83538922238463,Cargo,cargo,vh,10100,6081,Cargo_x10100_y6081,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10100_y6081_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10100_y6081_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10100_y6081_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10100_y6081_vh.png,success
23,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_rtc,2026-02-05 21:11:20 UTC,-4.831942293517776,126.68402090627264,Cargo,cargo,vv,10281,2038,Cargo_x10281_y2038,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10281_y2038.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10281_y2038.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10281_y2038.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10281_y2038.png,success
23,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_89B0,S1A_IW_GRDH_1SDV_20260205T211120_20260205T211145_063089_07EB08_rtc,2026-02-05 21:11:20 UTC,-4.831942293517776,126.68402090627264,Cargo,cargo,vh,10281,2038,Cargo_x10281_y2038,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10281_y2038_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10281_y2038_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10281_y2038_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10281_y2038_vh.png,success
24,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_rtc,2026-02-02 20:47:30 UTC,-8.629873209897486,132.174110444676,Cargo,cargo,vv,10334,10130,Cargo_x10334_y10130,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10334_y10130.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10334_y10130.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10334_y10130.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10334_y10130.png,success
24,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_8B5B,S1A_IW_GRDH_1SDV_20260202T204730_20260202T204755_063045_07E96C_rtc,2026-02-02 20:47:30 UTC,-8.629873209897486,132.174110444676,Cargo,cargo,vh,10334,10130,Cargo_x10334_y10130,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10334_y10130_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10334_y10130_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10334_y10130_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10334_y10130_vh.png,success
25,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_rtc,2026-02-01 21:42:33 UTC,0.6254454162473657,119.8831024841524,Cargo,cargo,vv,10995,10227,Cargo_x10995_y10227,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10995_y10227.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10995_y10227.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10995_y10227.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10995_y10227.png,success
25,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_rtc,2026-02-01 21:42:33 UTC,0.6254454162473657,119.8831024841524,Cargo,cargo,vh,10995,10227,Cargo_x10995_y10227,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x10995_y10227_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x10995_y10227_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x10995_y10227_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x10995_y10227_vh.png,success
26,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_rtc,2026-02-08 21:36:06 UTC,-5.690784127751207,120.56859297965244,Cargo,cargo,vv,11209,8359,Cargo_x11209_y8359,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x11209_y8359.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x11209_y8359.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x11209_y8359.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x11209_y8359.png,success
26,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_rtc,2026-02-08 21:36:06 UTC,-5.690784127751207,120.56859297965244,Cargo,cargo,vh,11209,8359,Cargo_x11209_y8359,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch\Cargo_x11209_y8359_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Cal\Cargo_x11209_y8359_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_Uint8\Cargo_x11209_y8359_vh.tif,data\opensarship_like\FULL_FISHING_CARGO_PASSENGER_64_FINAL\Patch_RGB\Cargo_x11209_y8359_vh.png,success
